rate_date,base_currency,quote_currency,exchange_rate
2020-02-06,USD,GBP,0.7554
2020-02-06,USD,CAD,1.2551
2020-02-07,USD,EUR,0.8470
2020-02-07,USD,CNY,6.4791
2020-02-07,USD,JPY,109.3473
2020-02-07,USD,GBP,0.7546
2020-02-07,USD,CAD,1.2576
2020-02-08,USD,EUR,0.8489
2020-02-08,USD,CNY,6.4799
2020-02-08,USD,JPY,109.4250
2020-02-08,USD,GBP,0.7555
2020-02-08,USD,CAD,1.2581
2020-02-09,USD,EUR,0.8478
2020-02-09,USD,CNY,6.4746
2020-02-09,USD,JPY,109.2917
2020-02-09,USD,GBP,0.7540
2020-02-09,USD,CAD,1.2572
2020-02-10,USD,EUR,0.8475
2020-02-10,USD,CNY,6.4788
2020-02-10,USD,JPY,109.3637
2020-02-10,USD,GBP,0.7553
2020-02-10,USD,CAD,1.2559
2020-02-11,USD,EUR,0.8485
2020-02-11,USD,CNY,6.4777
2020-02-11,USD,JPY,109.2908
2020-02-11,USD,GBP,0.7562
2020-02-11,USD,CAD,1.2560
2020-02-12,USD,EUR,0.8498
2020-02-12,USD,CNY,6.4805
2020-02-12,USD,JPY,109.1775
2020-02-12,USD,GBP,0.7574
2020-02-12,USD,CAD,1.2588
2020-02-13,USD,EUR,0.8512
2020-02-13,USD,CNY,6.4862
2020-02-13,USD,JPY,109.0084
2020-02-13,USD,GBP,0.7578
2020-02-13,USD,CAD,1.2589
2020-02-14,USD,EUR,0.8522
2020-02-14,USD,CNY,6.4788
2020-02-14,USD,JPY,108.9772
2020-02-14,USD,GBP,0.7560
2020-02-14,USD,CAD,1.2609
2020-02-15,USD,EUR,0.8509
2020-02-15,USD,CNY,6.4771
2020-02-15,USD,JPY,109.2141
2020-02-15,USD,GBP,0.7566
2020-02-15,USD,CAD,1.2615
2020-02-16,USD,EUR,0.8490
2020-02-16,USD,CNY,6.4771
2020-02-16,USD,JPY,109.2499
2020-02-16,USD,GBP,0.7584
2020-02-16,USD,CAD,1.2594
2020-02-17,USD,EUR,0.8472
2020-02-17,USD,CNY,6.4819
2020-02-17,USD,JPY,109.4837
2020-02-17,USD,GBP,0.7594
2020-02-17,USD,CAD,1.2571
2020-02-18,USD,EUR,0.8458
2020-02-18,USD,CNY,6.4862
2020-02-18,USD,JPY,109.6684
2020-02-18,USD,GBP,0.7609
2020-02-18,USD,CAD,1.2592
2020-02-19,USD,EUR,0.8438
2020-02-19,USD,CNY,6.4889
2020-02-19,USD,JPY,109.8837
2020-02-19,USD,GBP,0.7614
2020-02-19,USD,CAD,1.2597
2020-02-20,USD,EUR,0.8458
2020-02-20,USD,CNY,6.4928
2020-02-20,USD,JPY,110.0121
2020-02-20,USD,GBP,0.7612
2020-02-20,USD,CAD,1.2614
2020-02-21,USD,EUR,0.8444
2020-02-21,USD,CNY,6.4928
2020-02-21,USD,JPY,110.0599
2020-02-21,USD,GBP,0.7602
2020-02-21,USD,CAD,1.2593
2020-02-22,USD,EUR,0.8441
2020-02-22,USD,CNY,6.4874
2020-02-22,USD,JPY,110.2067
2020-02-22,USD,GBP,0.7609
2020-02-22,USD,CAD,1.2577
2020-02-23,USD,EUR,0.8427
2020-02-23,USD,CNY,6.4812
2020-02-23,USD,JPY,110.3644
2020-02-23,USD,GBP,0.7628
2020-02-23,USD,CAD,1.2571
2020-02-24,USD,EUR,0.8424
2020-02-24,USD,CNY,6.4756
2020-02-24,USD,JPY,110.1670
2020-02-24,USD,GBP,0.7642
2020-02-24,USD,CAD,1.2556
2020-02-25,USD,EUR,0.8421
2020-02-25,USD,CNY,6.4770
2020-02-25,USD,JPY,110.0993
2020-02-25,USD,GBP,0.7651
2020-02-25,USD,CAD,1.2544
2020-02-26,USD,EUR,0.8408
2020-02-26,USD,CNY,6.4839
2020-02-26,USD,JPY,110.2308
2020-02-26,USD,GBP,0.7633
2020-02-26,USD,CAD,1.2566
2020-02-27,USD,EUR,0.8392
2020-02-27,USD,CNY,6.4810
2020-02-27,USD,JPY,110.1452
2020-02-27,USD,GBP,0.7650
2020-02-27,USD,CAD,1.2584
2020-02-28,USD,EUR,0.8390
2020-02-28,USD,CNY,6.4742
2020-02-28,USD,JPY,110.2874
2020-02-28,USD,GBP,0.7647
2020-02-28,USD,CAD,1.2608
2020-02-29,USD,EUR,0.8367
2020-02-29,USD,CNY,6.4771
2020-02-29,USD,JPY,110.0831
2020-02-29,USD,GBP,0.7656
2020-02-29,USD,CAD,1.2594
2020-03-01,USD,EUR,0.8355
2020-03-01,USD,CNY,6.4825
2020-03-01,USD,JPY,110.1813
2020-03-01,USD,GBP,0.7639
2020-03-01,USD,CAD,1.2614
2020-03-02,USD,EUR,0.8339
2020-03-02,USD,CNY,6.4786
2020-03-02,USD,JPY,110.2998
2020-03-02,USD,GBP,0.7626
2020-03-02,USD,CAD,1.2607
2020-03-03,USD,EUR,0.8363
2020-03-03,USD,CNY,6.4825
2020-03-03,USD,JPY,110.2712
2020-03-03,USD,GBP,0.7627
2020-03-03,USD,CAD,1.2620
2020-03-04,USD,EUR,0.8348
2020-03-04,USD,CNY,6.4759
2020-03-04,USD,JPY,110.2760
2020-03-04,USD,GBP,0.7633
2020-03-04,USD,CAD,1.2649
2020-03-05,USD,EUR,0.8335
2020-03-05,USD,CNY,6.4742
2020-03-05,USD,JPY,110.4651
2020-03-05,USD,GBP,0.7636
2020-03-05,USD,CAD,1.2636
2020-03-06,USD,EUR,0.8356
2020-03-06,USD,CNY,6.4809
2020-03-06,USD,JPY,110.5463
2020-03-06,USD,GBP,0.7642
2020-03-06,USD,CAD,1.2666
2020-03-07,USD,EUR,0.8349
2020-03-07,USD,CNY,6.4765
2020-03-07,USD,JPY,110.6806
2020-03-07,USD,GBP,0.7644
2020-03-07,USD,CAD,1.2641
2020-03-08,USD,EUR,0.8327
2020-03-08,USD,CNY,6.4797
2020-03-08,USD,JPY,110.8661
2020-03-08,USD,GBP,0.7650
2020-03-08,USD,CAD,1.2657
2020-03-09,USD,EUR,0.8325
2020-03-09,USD,CNY,6.4835
2020-03-09,USD,JPY,110.6796
2020-03-09,USD,GBP,0.7636
2020-03-09,USD,CAD,1.2650
2020-03-10,USD,EUR,0.8325
2020-03-10,USD,CNY,6.4801
2020-03-10,USD,JPY,110.5397
2020-03-10,USD,GBP,0.7617
2020-03-10,USD,CAD,1.2622
2020-03-11,USD,EUR,0.8339
2020-03-11,USD,CNY,6.4780
2020-03-11,USD,JPY,110.5256
2020-03-11,USD,GBP,0.7615
2020-03-11,USD,CAD,1.2642
2020-03-12,USD,EUR,0.8333
2020-03-12,USD,CNY,6.4786
2020-03-12,USD,JPY,110.7126
2020-03-12,USD,GBP,0.7605
2020-03-12,USD,CAD,1.2648
2020-03-13,USD,EUR,0.8316
2020-03-13,USD,CNY,6.4789
2020-03-13,USD,JPY,110.5649
2020-03-13,USD,GBP,0.7604
2020-03-13,USD,CAD,1.2634
2020-03-14,USD,EUR,0.8341
2020-03-14,USD,CNY,6.4776
2020-03-14,USD,JPY,110.7011
2020-03-14,USD,GBP,0.7624
2020-03-14,USD,CAD,1.2637
2020-03-15,USD,EUR,0.8357
2020-03-15,USD,CNY,6.4743
2020-03-15,USD,JPY,110.6468
2020-03-15,USD,GBP,0.7640
2020-03-15,USD,CAD,1.2643
2020-03-16,USD,EUR,0.8343
2020-03-16,USD,CNY,6.4750
2020-03-16,USD,JPY,110.5505
2020-03-16,USD,GBP,0.7659
2020-03-16,USD,CAD,1.2633
2020-03-17,USD,EUR,0.8325
2020-03-17,USD,CNY,6.4781
2020-03-17,USD,JPY,110.6991
2020-03-17,USD,GBP,0.7679
2020-03-17,USD,CAD,1.2637
2020-03-18,USD,EUR,0.8333
2020-03-18,USD,CNY,6.4733
2020-03-18,USD,JPY,110.8540
2020-03-18,USD,GBP,0.7675
2020-03-18,USD,CAD,1.2628
2020-03-19,USD,EUR,0.8352
2020-03-19,USD,CNY,6.4785
2020-03-19,USD,JPY,110.9452
2020-03-19,USD,GBP,0.7666
2020-03-19,USD,CAD,1.2635
2020-03-20,USD,EUR,0.8335
2020-03-20,USD,CNY,6.4733
2020-03-20,USD,JPY,110.7203
2020-03-20,USD,GBP,0.7676
2020-03-20,USD,CAD,1.2617
2020-03-21,USD,EUR,0.8350
2020-03-21,USD,CNY,6.4729
2020-03-21,USD,JPY,110.7936
2020-03-21,USD,GBP,0.7684
2020-03-21,USD,CAD,1.2594
2020-03-22,USD,EUR,0.8327
2020-03-22,USD,CNY,6.4738
2020-03-22,USD,JPY,110.9082
2020-03-22,USD,GBP,0.7699
2020-03-22,USD,CAD,1.2584
2020-03-23,USD,EUR,0.8322
2020-03-23,USD,CNY,6.4812
2020-03-23,USD,JPY,110.8009
2020-03-23,USD,GBP,0.7710
2020-03-23,USD,CAD,1.2567
2020-03-24,USD,EUR,0.8343
2020-03-24,USD,CNY,6.4782
2020-03-24,USD,JPY,110.7101
2020-03-24,USD,GBP,0.7702
2020-03-24,USD,CAD,1.2589
2020-03-25,USD,EUR,0.8357
2020-03-25,USD,CNY,6.4751
2020-03-25,USD,JPY,110.7894
2020-03-25,USD,GBP,0.7697
2020-03-25,USD,CAD,1.2563
2020-03-26,USD,EUR,0.8334
2020-03-26,USD,CNY,6.4808
2020-03-26,USD,JPY,110.8011
2020-03-26,USD,GBP,0.7695
2020-03-26,USD,CAD,1.2588
2020-03-27,USD,EUR,0.8329
2020-03-27,USD,CNY,6.4862
2020-03-27,USD,JPY,110.6160
2020-03-27,USD,GBP,0.7692
2020-03-27,USD,CAD,1.2587
2020-03-28,USD,EUR,0.8314
2020-03-28,USD,CNY,6.4922
2020-03-28,USD,JPY,110.5163
2020-03-28,USD,GBP,0.7711
2020-03-28,USD,CAD,1.2577
2020-03-29,USD,EUR,0.8319
2020-03-29,USD,CNY,6.4862
2020-03-29,USD,JPY,110.2992
2020-03-29,USD,GBP,0.7723
2020-03-29,USD,CAD,1.2555
2020-03-30,USD,EUR,0.8338
2020-03-30,USD,CNY,6.4896
2020-03-30,USD,JPY,110.3725
2020-03-30,USD,GBP,0.7720
2020-03-30,USD,CAD,1.2540
2020-03-31,USD,EUR,0.8316
2020-03-31,USD,CNY,6.4871
2020-03-31,USD,JPY,110.5116
2020-03-31,USD,GBP,0.7717
2020-03-31,USD,CAD,1.2520
2020-04-01,USD,EUR,0.8294
2020-04-01,USD,CNY,6.4879
2020-04-01,USD,JPY,110.5468
2020-04-01,USD,GBP,0.7711
2020-04-01,USD,CAD,1.2493
2020-04-02,USD,EUR,0.8312
2020-04-02,USD,CNY,6.4814
2020-04-02,USD,JPY,110.7847
2020-04-02,USD,GBP,0.7719
2020-04-02,USD,CAD,1.2517
2020-04-03,USD,EUR,0.8326
2020-04-03,USD,CNY,6.4777
2020-04-03,USD,JPY,110.8209
2020-04-03,USD,GBP,0.7704
2020-04-03,USD,CAD,1.2520
2020-04-04,USD,EUR,0.8333
2020-04-04,USD,CNY,6.4805
2020-04-04,USD,JPY,110.8005
2020-04-04,USD,GBP,0.7693
2020-04-04,USD,CAD,1.2527
2020-04-05,USD,EUR,0.8337
2020-04-05,USD,CNY,6.4866
2020-04-05,USD,JPY,111.0102
2020-04-05,USD,GBP,0.7685
2020-04-05,USD,CAD,1.2502
2020-04-06,USD,EUR,0.8336
2020-04-06,USD,CNY,6.4919
2020-04-06,USD,JPY,111.2012
2020-04-06,USD,GBP,0.7690
2020-04-06,USD,CAD,1.2508
2020-04-07,USD,EUR,0.8328
2020-04-07,USD,CNY,6.4961
2020-04-07,USD,JPY,111.3560
2020-04-07,USD,GBP,0.7701
2020-04-07,USD,CAD,1.2523
2020-04-08,USD,EUR,0.8320
2020-04-08,USD,CNY,6.4954
2020-04-08,USD,JPY,111.4553
2020-04-08,USD,GBP,0.7696
2020-04-08,USD,CAD,1.2514
2020-04-09,USD,EUR,0.8304
2020-04-09,USD,CNY,6.5007
2020-04-09,USD,JPY,111.4540
2020-04-09,USD,GBP,0.7690
2020-04-09,USD,CAD,1.2508
2020-04-10,USD,EUR,0.8296
2020-04-10,USD,CNY,6.5015
2020-04-10,USD,JPY,111.6844
2020-04-10,USD,GBP,0.7684
2020-04-10,USD,CAD,1.2509
2020-04-11,USD,EUR,0.8286
2020-04-11,USD,CNY,6.5034
2020-04-11,USD,JPY,111.6311
2020-04-11,USD,GBP,0.7684
2020-04-11,USD,CAD,1.2487
2020-04-12,USD,EUR,0.8272
2020-04-12,USD,CNY,6.5054
2020-04-12,USD,JPY,111.8784
2020-04-12,USD,GBP,0.7671
2020-04-12,USD,CAD,1.2499
2020-04-13,USD,EUR,0.8292
2020-04-13,USD,CNY,6.5070
2020-04-13,USD,JPY,111.8313
2020-04-13,USD,GBP,0.7675
2020-04-13,USD,CAD,1.2493
2020-04-14,USD,EUR,0.8304
2020-04-14,USD,CNY,6.5076
2020-04-14,USD,JPY,111.7022
2020-04-14,USD,GBP,0.7679
2020-04-14,USD,CAD,1.2517
2020-04-15,USD,EUR,0.8280
2020-04-15,USD,CNY,6.5098
2020-04-15,USD,JPY,111.5087
2020-04-15,USD,GBP,0.7688
2020-04-15,USD,CAD,1.2495
2020-04-16,USD,EUR,0.8289
2020-04-16,USD,CNY,6.5161
2020-04-16,USD,JPY,111.3821
2020-04-16,USD,GBP,0.7702
2020-04-16,USD,CAD,1.2479
2020-04-17,USD,EUR,0.8310
2020-04-17,USD,CNY,6.5120
2020-04-17,USD,JPY,111.1969
2020-04-17,USD,GBP,0.7710
2020-04-17,USD,CAD,1.2477
2020-04-18,USD,EUR,0.8307
2020-04-18,USD,CNY,6.5067
2020-04-18,USD,JPY,111.4319
2020-04-18,USD,GBP,0.7696
2020-04-18,USD,CAD,1.2467
2020-04-19,USD,EUR,0.8319
2020-04-19,USD,CNY,6.5129
2020-04-19,USD,JPY,111.6800
2020-04-19,USD,GBP,0.7688
2020-04-19,USD,CAD,1.2489
2020-04-20,USD,EUR,0.8322
2020-04-20,USD,CNY,6.5146
2020-04-20,USD,JPY,111.8741
2020-04-20,USD,GBP,0.7707
2020-04-20,USD,CAD,1.2484
2020-04-21,USD,EUR,0.8324
2020-04-21,USD,CNY,6.5088
2020-04-21,USD,JPY,111.8498
2020-04-21,USD,GBP,0.7697
2020-04-21,USD,CAD,1.2504
2020-04-22,USD,EUR,0.8302
2020-04-22,USD,CNY,6.5130
2020-04-22,USD,JPY,111.9725
2020-04-22,USD,GBP,0.7681
2020-04-22,USD,CAD,1.2513
2020-04-23,USD,EUR,0.8319
2020-04-23,USD,CNY,6.5127
2020-04-23,USD,JPY,112.1295
2020-04-23,USD,GBP,0.7679
2020-04-23,USD,CAD,1.2514
2020-04-24,USD,EUR,0.8321
2020-04-24,USD,CNY,6.5086
2020-04-24,USD,JPY,112.3417
2020-04-24,USD,GBP,0.7693
2020-04-24,USD,CAD,1.2504
2020-04-25,USD,EUR,0.8340
2020-04-25,USD,CNY,6.5124
2020-04-25,USD,JPY,112.4605
2020-04-25,USD,GBP,0.7693
2020-04-25,USD,CAD,1.2504
2020-04-26,USD,EUR,0.8333
2020-04-26,USD,CNY,6.5166
2020-04-26,USD,JPY,112.3425
2020-04-26,USD,GBP,0.7679
2020-04-26,USD,CAD,1.2533
2020-04-27,USD,EUR,0.8316
2020-04-27,USD,CNY,6.5131
2020-04-27,USD,JPY,112.4026
2020-04-27,USD,GBP,0.7681
2020-04-27,USD,CAD,1.2535
2020-04-28,USD,EUR,0.8333
2020-04-28,USD,CNY,6.5074
2020-04-28,USD,JPY,112.3195
2020-04-28,USD,GBP,0.7667
2020-04-28,USD,CAD,1.2533
2020-04-29,USD,EUR,0.8336
2020-04-29,USD,CNY,6.5075
2020-04-29,USD,JPY,112.4385
2020-04-29,USD,GBP,0.7666
2020-04-29,USD,CAD,1.2534
2020-04-30,USD,EUR,0.8334
2020-04-30,USD,CNY,6.5059
2020-04-30,USD,JPY,112.5577
2020-04-30,USD,GBP,0.7660
2020-04-30,USD,CAD,1.2548
2020-05-01,USD,EUR,0.8331
2020-05-01,USD,CNY,6.5035
2020-05-01,USD,JPY,112.6055
2020-05-01,USD,GBP,0.7657
2020-05-01,USD,CAD,1.2572
2020-05-02,USD,EUR,0.8352
2020-05-02,USD,CNY,6.5054
2020-05-02,USD,JPY,112.6205
2020-05-02,USD,GBP,0.7638
2020-05-02,USD,CAD,1.2552
2020-05-03,USD,EUR,0.8364
2020-05-03,USD,CNY,6.5017
2020-05-03,USD,JPY,112.5138
2020-05-03,USD,GBP,0.7625
2020-05-03,USD,CAD,1.2541
2020-05-04,USD,EUR,0.8342
2020-05-04,USD,CNY,6.5004
2020-05-04,USD,JPY,112.4288
2020-05-04,USD,GBP,0.7613
2020-05-04,USD,CAD,1.2564
2020-05-05,USD,EUR,0.8342
2020-05-05,USD,CNY,6.4975
2020-05-05,USD,JPY,112.5318
2020-05-05,USD,GBP,0.7630
2020-05-05,USD,CAD,1.2570
2020-05-06,USD,EUR,0.8358
2020-05-06,USD,CNY,6.4967
2020-05-06,USD,JPY,112.7031
2020-05-06,USD,GBP,0.7638
2020-05-06,USD,CAD,1.2598
2020-05-07,USD,EUR,0.8364
2020-05-07,USD,CNY,6.4942
2020-05-07,USD,JPY,112.7276
2020-05-07,USD,GBP,0.7631
2020-05-07,USD,CAD,1.2599
2020-05-08,USD,EUR,0.8359
2020-05-08,USD,CNY,6.4943
2020-05-08,USD,JPY,112.5600
2020-05-08,USD,GBP,0.7626
2020-05-08,USD,CAD,1.2614
2020-05-09,USD,EUR,0.8350
2020-05-09,USD,CNY,6.4936
2020-05-09,USD,JPY,112.7829
2020-05-09,USD,GBP,0.7616
2020-05-09,USD,CAD,1.2622
2020-05-10,USD,EUR,0.8356
2020-05-10,USD,CNY,6.4911
2020-05-10,USD,JPY,112.6406
2020-05-10,USD,GBP,0.7618
2020-05-10,USD,CAD,1.2646
2020-05-11,USD,EUR,0.8367
2020-05-11,USD,CNY,6.4980
2020-05-11,USD,JPY,112.7420
2020-05-11,USD,GBP,0.7610
2020-05-11,USD,CAD,1.2650
2020-05-12,USD,EUR,0.8350
2020-05-12,USD,CNY,6.4949
2020-05-12,USD,JPY,112.8756
2020-05-12,USD,GBP,0.7627
2020-05-12,USD,CAD,1.2660
2020-05-13,USD,EUR,0.8350
2020-05-13,USD,CNY,6.5012
2020-05-13,USD,JPY,112.7149
2020-05-13,USD,GBP,0.7639
2020-05-13,USD,CAD,1.2633
2020-05-14,USD,EUR,0.8367
2020-05-14,USD,CNY,6.4980
2020-05-14,USD,JPY,112.7549
2020-05-14,USD,GBP,0.7639
2020-05-14,USD,CAD,1.2646
2020-05-15,USD,EUR,0.8362
2020-05-15,USD,CNY,6.4916
2020-05-15,USD,JPY,112.6018
2020-05-15,USD,GBP,0.7622
2020-05-15,USD,CAD,1.2638
2020-05-16,USD,EUR,0.8385
2020-05-16,USD,CNY,6.4921
2020-05-16,USD,JPY,112.8438
2020-05-16,USD,GBP,0.7624
2020-05-16,USD,CAD,1.2618
2020-05-17,USD,EUR,0.8400
2020-05-17,USD,CNY,6.4852
2020-05-17,USD,JPY,113.0158
2020-05-17,USD,GBP,0.7632
2020-05-17,USD,CAD,1.2598
2020-05-18,USD,EUR,0.8419
2020-05-18,USD,CNY,6.4916
2020-05-18,USD,JPY,113.0678
2020-05-18,USD,GBP,0.7633
2020-05-18,USD,CAD,1.2595
2020-05-19,USD,EUR,0.8409
2020-05-19,USD,CNY,6.4891
2020-05-19,USD,JPY,113.2960
2020-05-19,USD,GBP,0.7625
2020-05-19,USD,CAD,1.2578
2020-05-20,USD,EUR,0.8428
2020-05-20,USD,CNY,6.4837
2020-05-20,USD,JPY,113.4124
2020-05-20,USD,GBP,0.7605
2020-05-20,USD,CAD,1.2598
2020-05-21,USD,EUR,0.8418
2020-05-21,USD,CNY,6.4853
2020-05-21,USD,JPY,113.1836
2020-05-21,USD,GBP,0.7614
2020-05-21,USD,CAD,1.2569
2020-05-22,USD,EUR,0.8430
2020-05-22,USD,CNY,6.4861
2020-05-22,USD,JPY,113.3173
2020-05-22,USD,GBP,0.7611
2020-05-22,USD,CAD,1.2584
2020-05-23,USD,EUR,0.8410
2020-05-23,USD,CNY,6.4892
2020-05-23,USD,JPY,113.1891
2020-05-23,USD,GBP,0.7608
2020-05-23,USD,CAD,1.2563
2020-05-24,USD,EUR,0.8391
2020-05-24,USD,CNY,6.4953
2020-05-24,USD,JPY,113.0130
2020-05-24,USD,GBP,0.7598
2020-05-24,USD,CAD,1.2579
2020-05-25,USD,EUR,0.8408
2020-05-25,USD,CNY,6.4983
2020-05-25,USD,JPY,113.1458
2020-05-25,USD,GBP,0.7604
2020-05-25,USD,CAD,1.2564
2020-05-26,USD,EUR,0.8423
2020-05-26,USD,CNY,6.4938
2020-05-26,USD,JPY,113.3826
2020-05-26,USD,GBP,0.7601
